"venue","row_count","min_year","max_year","flag_reason"
"Plastic and Reconstructive Surgery","2","2019","2019","off_domain_venue_name:medicine"
"Postharvest Biology and Technology","2","2024","2024","off_domain_venue_name:life_science"
"Precision and Future Medicine","2","2022","2022","off_domain_venue_name:medicine"
"Progress of Theoretical and Experimental Physics","2","2022","2024","off_domain_venue_name:physical_science"
"Psychodynamic Psychiatry","2","2013","2013","off_domain_venue_name:medicine"
"Quantum Information and Computation","2","2024","2024","off_domain_venue_name:physical_science"
"Radiology Imaging Cancer","2","2024","2024","off_domain_venue_name:medicine"
"Regulatory Toxicology and Pharmacology","2","2024","2024","off_domain_venue_name:medicine"
"Research and Reports in Tropical Medicine","2","2016","2022","off_domain_venue_name:medicine"
"Restorative Dentistry & Endodontics","2","2024","2024","off_domain_venue_name:medicine"
"Reviews in Medical Virology","2","2022","2022","off_domain_venue_name:medicine"
"Revista brasileira de epidemiologia = Brazilian journal of epidemiology","2","2010","2010","off_domain_venue_name:medicine"
"Russian Journal of Mathematical Physics","2","2024","2024","off_domain_venue_name:physical_science"
"Russian Journal of Physical Chemistry B","2","2024","2024","off_domain_venue_name:physical_science"
"Sage open pediatrics","2","2025","2025","off_domain_venue_name:medicine"
"SAP Artificial Intelligence in Dentistry","2","2025","2025","off_domain_venue_name:medicine"
"Scandinavian Journal of Medicine and Science in Sports","2","2022","2024","off_domain_venue_name:medicine"
"SciPost Physics Lecture Notes","2","2022","2022","off_domain_venue_name:physical_science"
"Social history of medicine : the journal of the Society for the Social History of Medicine","2","2024","2024","off_domain_venue_name:medicine"
"South African Journal of Chemical Engineering","2","2024","2024","off_domain_venue_name:physical_science"
"South African Journal of Psychiatry","2","2019","2019","off_domain_venue_name:medicine"
"Sports Medicine and Health Science","2","2021","2021","off_domain_venue_name:medicine"
"SSP Modern Pharmacy and Medicine","2","2025","2025","off_domain_venue_name:medicine"
"Statistical Applications in Genetics and Molecular Biology","2","2004","2005","off_domain_venue_name:life_science"
"Surgery Today","2","2024","2025","off_domain_venue_name:medicine"
"Survey of Anesthesiology","2","2000","2000","off_domain_venue_name:medicine"
"Teaching and learning in nursing","2","2024","2024","off_domain_venue_name:medicine"
"Telehealth and Medicine Today","2","2023","2023","off_domain_venue_name:medicine"
"The American Journal of Sports Medicine","2","2020","2020","off_domain_venue_name:medicine"
"The Belgian Journal of Radiology","2","2005","2005","off_domain_venue_name:medicine"
"The Clinical Teacher","2","2024","2025","off_domain_venue_name:medicine"
"The Journal of Applied Laboratory Medicine","2","2023","2023","off_domain_venue_name:medicine"
"The Journal of Clinical Endocrinology and Metabolism","2","2007","2007","off_domain_venue_name:medicine"
"The Journal of craniofacial surgery (Print)","2","2021","2024","off_domain_venue_name:medicine"
"The journal of the American Academy of Psychiatry and the Law","2","2013","2013","off_domain_venue_name:medicine"
"The Journal of the American Board of Family Medicine","2","2021","2024","off_domain_venue_name:medicine"
"The journals of gerontology. Series A, Biological sciences and medical sciences","2","2020","2024","off_domain_venue_name:medicine|life_science"
"The Open Biomedical Engineering Journal","2","2024","2024","off_domain_venue_name:medicine"
"The Open Journal of Astrophysics","2","2024","2024","off_domain_venue_name:physical_science"
"The Pan African Medical Journal","2","2013","2014","off_domain_venue_name:medicine"
"Theoretical and Mathematical Physics","2","2024","2024","off_domain_venue_name:physical_science"
"Transcultural Psychiatry","2","2022","2025","off_domain_venue_name:medicine"
"Trends in Chemistry","2","2024","2024","off_domain_venue_name:physical_science"
"Trends in Molecular Medicine","2","2024","2024","off_domain_venue_name:medicine|life_science"
"Tropical Diseases, Travel Medicine and Vaccines","2","2022","2025","off_domain_venue_name:medicine"
"TURKISH JOURNAL OF BOTANY","2","2024","2024","off_domain_venue_name:life_science"
"Ultrasound in Medicine & Biology","2","2024","2024","off_domain_venue_name:medicine|life_science"
"Veterinary Medicine and Science","2","2024","2025","off_domain_venue_name:medicine"
"Water Biology and Security","2","2024","2024","off_domain_venue_name:life_science"
"World journal for pediatric & congenital heart surgery","2","2025","2025","off_domain_venue_name:medicine"
"World Medical &amp; Health Policy","2","2025","2025","off_domain_venue_name:medicine"
"World Social Psychiatry","2","2022","2022","off_domain_venue_name:medicine"
"Worldviews on Evidence-Based Nursing","2","2016","2016","off_domain_venue_name:medicine"
"2021 Computing in Cardiology (CinC)","1","2021","2021","off_domain_venue_name:medicine"
"2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC)","1","2022","2022","off_domain_venue_name:medicine|life_science"
"Academic Pediatrics","1","2025","2025","off_domain_venue_name:medicine"
"ACS Chemical Health & Safety","1","2021","2021","off_domain_venue_name:physical_science"
"ACS Earth and Space Chemistry","1","2024","2024","off_domain_venue_name:physical_science"
"ACS Pharmacology & Translational Science","1","2020","2020","off_domain_venue_name:medicine"
"ADA Clinical Compendia","1","2022","2022","off_domain_venue_name:medicine"
"Adolescent Health Medicine and Therapeutics","1","2024","2024","off_domain_venue_name:medicine"
"Advanced Physics Research","1","2024","2024","off_domain_venue_name:physical_science"
"Advances in Cancer Biology - Metastasis","1","2024","2024","off_domain_venue_name:life_science"
"Advances in Experimental Medicine and Biology","1","2001","2001","off_domain_venue_name:medicine|life_science"
"Advances in Materials Science and Engineering","1","2021","2021","off_domain_venue_name:physical_science"
"Advances in pharmacological and pharmaceutical sciences","1","2021","2021","off_domain_venue_name:medicine"
"Aging Clinical and Experimental Research","1","2020","2020","off_domain_venue_name:medicine"
"Aging Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Ain Shams Journal of Anesthesiology","1","2022","2022","off_domain_venue_name:medicine"
"Alcoholism Clinical and Experimental Research","1","2000","2000","off_domain_venue_name:medicine"
"American Journal of Botany","1","2018","2018","off_domain_venue_name:life_science"
"American Journal of Lifestyle Medicine","1","2022","2022","off_domain_venue_name:medicine"
"American Journal of Medical Genetics Part C Seminars in Medical Genetics","1","2017","2017","off_domain_venue_name:medicine|life_science"
"American Journal of Pathology","1","2017","2017","off_domain_venue_name:medicine"
"American Journal of Speech-Language Pathology","1","1997","1997","off_domain_venue_name:medicine"
"American Medical Informatics Association Annual Symposium","1","2003","2003","off_domain_venue_name:medicine"
"American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting","1","2018","2018","off_domain_venue_name:medicine"
"Analytica—A Journal of Analytical Chemistry and Chemical Analysis","1","2024","2024","off_domain_venue_name:physical_science"
"Annals of 3D Printed Medicine","1","2021","2021","off_domain_venue_name:medicine"
"Annals of Behavioral Medicine","1","2023","2023","off_domain_venue_name:medicine"
"Annals of Cardiothoracic Surgery","1","2017","2017","off_domain_venue_name:medicine"
"Annals of Gastroenterological Surgery","1","2024","2024","off_domain_venue_name:medicine"
"Annals of General Psychiatry","1","2024","2024","off_domain_venue_name:medicine"
"Annals of Human Biology","1","2003","2003","off_domain_venue_name:life_science"
"Annals of International medical and Dental Research","1","2016","2016","off_domain_venue_name:medicine"
"Annals of Thoracic Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Annual Review of Biomedical Data Science","1","2021","2021","off_domain_venue_name:medicine"
"Annual Review of Medicine","1","2016","2016","off_domain_venue_name:medicine"
"Annual Review of Neuroscience","1","2001","2001","off_domain_venue_name:life_science"
"Anwer Khan Modern Medical College Journal","1","2017","2017","off_domain_venue_name:medicine"
"ANZ Journal of Surgery","1","2003","2003","off_domain_venue_name:medicine"
"APL Quantum","1","2024","2024","off_domain_venue_name:physical_science"
"Archives of medical science : AMS","1","2010","2010","off_domain_venue_name:medicine"
"Archives of Medicine and Health Sciences","1","2022","2022","off_domain_venue_name:medicine"
"Archives of Pediatrics and Adolescent Medicine","1","2003","2003","off_domain_venue_name:medicine"
"Archives of Surgery","1","1992","1992","off_domain_venue_name:medicine"
"Arteriosclerosis, Thrombosis and Vascular Biology","1","2014","2014","off_domain_venue_name:life_science"
"Asia-Pacific Journal of Clinical Oncology","1","2023","2023","off_domain_venue_name:medicine"
"Asian Journal of Ethics in Health and Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Asian pacific Journal of Tropical Biomedicine","1","2017","2017","off_domain_venue_name:medicine"
"AUIQ complementary biological system.","1","2024","2024","off_domain_venue_name:life_science"
"Australian Journal of Biomedical Research","1","2025","2025","off_domain_venue_name:medicine"
"Balkan Medical Journal","1","2024","2024","off_domain_venue_name:medicine"
"Barw Medical Journal","1","2024","2024","off_domain_venue_name:medicine"
"Belitung Nursing Journal","1","2025","2025","off_domain_venue_name:medicine"
"Biochemistry and Cell Biology","1","2024","2024","off_domain_venue_name:life_science"
"Biochimica et Biophysica Acta - Molecular Basis of Disease","1","2020","2020","off_domain_venue_name:life_science"
"Bioelectronic Medicine","1","2025","2025","off_domain_venue_name:medicine"
"Bioengineering & Translational Medicine","1","2021","2021","off_domain_venue_name:medicine"
"Biological Journal of the Linnean Society","1","1996","1996","off_domain_venue_name:life_science"
"Biological Research","1","2024","2024","off_domain_venue_name:life_science"
"Biological Research for Nursing","1","2022","2022","off_domain_venue_name:medicine|life_science"
"Biology Engineering Medicine and Science Reports","1","2023","2023","off_domain_venue_name:medicine|life_science"
"Biomedical Engineering Advances","1","2022","2022","off_domain_venue_name:medicine"
"Biomedical Reports","1","2016","2016","off_domain_venue_name:medicine"
"BMC Biomedical Engineering","1","2024","2024","off_domain_venue_name:medicine"
"BMC Complementary Medicine and Therapies","1","2025","2025","off_domain_venue_name:medicine"
"BMC Genetics","1","2018","2018","off_domain_venue_name:life_science"
"BMC Molecular Biology","1","2006","2006","off_domain_venue_name:life_science"
"BMC Neuroscience","1","2024","2024","off_domain_venue_name:life_science"
"BMJ Oncology","1","2023","2023","off_domain_venue_name:medicine"
"Brazilian Journal of Analytical Chemistry","1","2026","2026","off_domain_venue_name:physical_science"
"British Journal of Community Nursing","1","2024","2024","off_domain_venue_name:medicine"
"British Journal of Nursing","1","2024","2024","off_domain_venue_name:medicine"
"Bulletin of Biological and Allied Sciences Research","1","2024","2024","off_domain_venue_name:life_science"
"Bulletin of Engineering Geology and the Environment","1","2024","2024","off_domain_venue_name:physical_science"
"Bulletin of the Chemical Society of Ethiopia","1","2024","2024","off_domain_venue_name:physical_science"
"Canadian Journal of Emergency Nursing","1","2022","2022","off_domain_venue_name:medicine"
"Canadian journal of psychiatry. Revue canadienne de psychiatrie","1","2022","2022","off_domain_venue_name:medicine"
"Canadian Medical Education Journal","1","2022","2022","off_domain_venue_name:medicine"
"Cancer Epidemiology, Biomarkers and Prevention","1","2020","2020","off_domain_venue_name:medicine"
"Cancer Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Cardiology","1","2015","2015","off_domain_venue_name:medicine"
"Cardiology in the Young","1","2017","2017","off_domain_venue_name:medicine"
"Cardiovascular revascularization medicine","1","2024","2024","off_domain_venue_name:medicine"
"Case Reports in Neurology","1","2016","2016","off_domain_venue_name:medicine"
"Case Reports in Oncology","1","2015","2015","off_domain_venue_name:medicine"
"Cell chemical biology","1","2024","2024","off_domain_venue_name:physical_science|life_science"
"Cellular & Molecular Immunology","1","2021","2021","off_domain_venue_name:life_science"
"Cellular and Molecular Gastroenterology and Hepatology","1","2024","2024","off_domain_venue_name:life_science"
"Chemical & Engineering News","1","2013","2013","off_domain_venue_name:physical_science"
"Chemical Engineering Science X","1","2021","2021","off_domain_venue_name:physical_science"
"Chemical Physics Impact","1","2024","2024","off_domain_venue_name:physical_science"
"Chemical Physics Letters","1","2024","2024","off_domain_venue_name:physical_science"
"Chemistry - Methods","1","2021","2021","off_domain_venue_name:physical_science"
"Chemistry Teacher International","1","2022","2022","off_domain_venue_name:physical_science"
"Child Health Nursing Research","1","2022","2022","off_domain_venue_name:medicine"
"CIN Computers Informatics Nursing","1","2024","2024","off_domain_venue_name:medicine"
"Clinical and Experimental Dermatology","1","2024","2024","off_domain_venue_name:medicine"
"Clinical and Experimental Medicine","1","2025","2025","off_domain_venue_name:medicine"
"Clinical and Translational Allergy","1","2025","2025","off_domain_venue_name:medicine"
"Clinical and Translational Gastroenterology","1","2016","2016","off_domain_venue_name:medicine"
"Clinical and Translational Radiation Oncology","1","2019","2019","off_domain_venue_name:medicine"
"Clinical Autonomic Research","1","2024","2024","off_domain_venue_name:medicine"
"Clinical Child and Family Psychology Review","1","2012","2012","off_domain_venue_name:medicine"
"Clinical Diabetes","1","2022","2022","off_domain_venue_name:medicine"
"Clinical Diabetes and Endocrinology","1","2015","2015","off_domain_venue_name:medicine"
"Clinical Genetics","1","2024","2024","off_domain_venue_name:medicine|life_science"
"Clinical Lymphoma, Myeloma & Leukemia","1","2025","2025","off_domain_venue_name:medicine"
"Clinical Medicine & Research","1","2016","2016","off_domain_venue_name:medicine"
"Clinical ophthalmology","1","2024","2024","off_domain_venue_name:medicine"
"Clinical Pharmacology & Therapeutics","1","2024","2024","off_domain_venue_name:medicine"
"Clinical Trials","1","2025","2025","off_domain_venue_name:medicine"
"Clinics in Laboratory Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Community Dental Health","1","2024","2024","off_domain_venue_name:medicine"
"Complementary Therapies in Clinical Practice","1","2019","2019","off_domain_venue_name:medicine"
"Computational and Mathematical Methods in Medicine","1","2022","2022","off_domain_venue_name:medicine"
"Critical reviews in oncology/hematology","1","2025","2025","off_domain_venue_name:medicine"
"Current Genomics","1","2024","2024","off_domain_venue_name:life_science"
"Current Medical Issues","1","2025","2025","off_domain_venue_name:medicine"
"Current Oncology Reports","1","2024","2024","off_domain_venue_name:medicine"
"Current Opinion in Allergy and Clinical Immunology","1","2022","2022","off_domain_venue_name:medicine"
"Current Opinion in Genetics and Development","1","2018","2018","off_domain_venue_name:life_science"
"Current Opinion in Oncology","1","2024","2024","off_domain_venue_name:medicine"
"Current Opinion in Systems Biology","1","2021","2021","off_domain_venue_name:life_science"
"Current pharmaceutical design","1","2025","2025","off_domain_venue_name:medicine"
"Current Pharmacogenomics and Personalized Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Current Research in Structural Biology","1","2024","2024","off_domain_venue_name:life_science"
"Current Treatment Options in Psychiatry","1","2025","2025","off_domain_venue_name:medicine"
"Demographics and Clinical Outcomes of Carcinoma Rectum Patients After Planned Neoadjuvant Chemoradiotherapy (NACTRT) with Capecitabine-Based Regimen: A 3-Year Experience from a Private Tertiary Cancer Care Centre","1","2025","2025","off_domain_venue_name:medicine"
"Dental and Medical Problems","1","2021","2021","off_domain_venue_name:medicine"
"Developmental Neuroscience","1","2013","2013","off_domain_venue_name:life_science"
"Dimensions of Critical Care Nursing","1","2017","2017","off_domain_venue_name:medicine"
"Discover Chemical Engineering","1","2024","2024","off_domain_venue_name:physical_science"
"Discover Pharmaceutical Sciences","1","2025","2025","off_domain_venue_name:medicine"
"EJNMMI Physics","1","2024","2024","off_domain_venue_name:physical_science"
"EJNMMI Radiopharmacy and Chemistry","1","2024","2024","off_domain_venue_name:physical_science"
"Electromagnetic Biology and Medicine","1","2024","2024","off_domain_venue_name:medicine|life_science"
"Environmental and Experimental Botany","1","2024","2024","off_domain_venue_name:life_science"
"Environmental Epidemiology","1","2024","2024","off_domain_venue_name:medicine"
"Epidemiology, risk factors for disease or disease progression","1","2018","2018","off_domain_venue_name:medicine"
"Ethics Medicine and Public Health","1","2025","2025","off_domain_venue_name:medicine"
"Eurasian Journal of Analytical Chemistry","1","2018","2018","off_domain_venue_name:physical_science"
"European Child & Adolescent Psychiatry","1","2021","2021","off_domain_venue_name:medicine"
"European Journal of Clinical Microbiology and Infectious Diseases","1","2010","2010","off_domain_venue_name:medicine"
"European Journal of Clinical Nutrition","1","2021","2021","off_domain_venue_name:medicine"
"European journal of internal medicine","1","2017","2017","off_domain_venue_name:medicine"
"European Journal of Medical and Health Sciences","1","2024","2024","off_domain_venue_name:medicine"
"European journal of paediatric neurology","1","2024","2024","off_domain_venue_name:medicine"
"European Journal of Pediatrics","1","2018","2018","off_domain_venue_name:medicine"
"European Journal of Physical and Rehabilitation Medicine","1","2021","2021","off_domain_venue_name:medicine"
"European journal of plant pathology","1","2024","2024","off_domain_venue_name:medicine"
"Evidence-based Complementary and Alternative Medicine","1","2021","2021","off_domain_venue_name:medicine"
"Evidence-based Medicine","1","2010","2010","off_domain_venue_name:medicine"
"Evolution Medicine and Public Health","1","2016","2016","off_domain_venue_name:medicine"
"Experimental and Clinical Endocrinology & Diabetes","1","2024","2024","off_domain_venue_name:medicine"
"Expert Review of Medical Devices","1","2024","2024","off_domain_venue_name:medicine"
"Exploration of Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Exploratory Research in Clinical and Social Pharmacy","1","2024","2024","off_domain_venue_name:medicine"
"FOCUS The Journal of Lifelong Learning in Psychiatry","1","2013","2013","off_domain_venue_name:medicine"
"Free Radical Biology and Medicine","1","2024","2024","off_domain_venue_name:medicine|life_science"
"Frontiers in Chemical Engineering","1","2023","2023","off_domain_venue_name:physical_science"
"Frontiers in Integrative Neuroscience","1","2015","2015","off_domain_venue_name:life_science"
"Frontiers in Nuclear Medicine","1","2024","2024","off_domain_venue_name:medicine|physical_science"
"Future Integrative Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Galen Medical Journal","1","2024","2024","off_domain_venue_name:medicine"
"Genetics Selection Evolution","1","2024","2024","off_domain_venue_name:life_science"
"Genome Biology and Evolution","1","2024","2024","off_domain_venue_name:life_science"
"Geochemistry Geophysics Geosystems","1","2021","2021","off_domain_venue_name:physical_science"
"Geology Ecology and Landscapes","1","2024","2024","off_domain_venue_name:physical_science"
"Geriatric Nursing","1","2024","2024","off_domain_venue_name:medicine"
"Ghana Journal of Nursing and Midwifery","1","2024","2024","off_domain_venue_name:medicine"
"Global Advances in Integrative Medicine and Health","1","2025","2025","off_domain_venue_name:medicine"
"Global Medical Genetics","1","2024","2024","off_domain_venue_name:medicine|life_science"
"Graefe s Archive for Clinical and Experimental Ophthalmology","1","2024","2024","off_domain_venue_name:medicine"
"IEEE International Conference on Bioinformatics and Biomedicine","1","2022","2022","off_domain_venue_name:medicine"
"IEEE Journal of Translational Engineering in Health and Medicine","1","2022","2022","off_domain_venue_name:medicine"
"Indian Journal of Continuing Nursing Education","1","2021","2021","off_domain_venue_name:medicine"
"Indian journal of radiology and imaging - new series/Indian journal of radiology and imaging/Indian Journal of Radiology & Imaging","1","2024","2024","off_domain_venue_name:medicine"
"Indonesian Journal of Computational Biology (IJCB)","1","2023","2023","off_domain_venue_name:life_science"
"Infection, Genetics and Evolution","1","2014","2014","off_domain_venue_name:life_science"
"Integrative Medicine in Nephrology and Andrology","1","2024","2024","off_domain_venue_name:medicine"
"Interactive Journal of Medical Research","1","2024","2024","off_domain_venue_name:medicine"
"Interdisciplinary medicine","1","2024","2024","off_domain_venue_name:medicine"
"International Journal of Agriculture and Biology","1","2025","2025","off_domain_venue_name:life_science"
"International Journal of Behavioral Medicine","1","2011","2011","off_domain_venue_name:medicine"
"International Journal of Biomedical Imaging","1","2024","2024","off_domain_venue_name:medicine"
"International Journal of Chemistry Mathematics and Physics","1","2024","2024","off_domain_venue_name:physical_science"
"International Journal of Computer Assisted Radiology and Surgery","1","2024","2024","off_domain_venue_name:medicine"
"International Journal of E-Health and Medical Communications","1","2024","2024","off_domain_venue_name:medicine"
"International Journal of Emergency Medicine","1","2025","2025","off_domain_venue_name:medicine"
"International Journal of Environmental & Analytical Chemistry","1","2024","2024","off_domain_venue_name:physical_science"
"International Journal of Geography Geology and Environment","1","2024","2024","off_domain_venue_name:physical_science"
"International Journal of Law and Psychiatry","1","2009","2009","off_domain_venue_name:medicine"
"International Journal of Medical Microbiology","1","2019","2019","off_domain_venue_name:medicine"
"International Journal of Modern Physics C","1","2024","2024","off_domain_venue_name:physical_science"
"International Journal of Modern Physics D","1","2006","2006","off_domain_venue_name:physical_science"
"International Journal of Modern Physics E","1","2024","2024","off_domain_venue_name:physical_science"
"International Journal of Nursing Practice","1","2021","2021","off_domain_venue_name:medicine"
"International Journal of Occupational Medicine and Environmental Health","1","2010","2010","off_domain_venue_name:medicine"
"International Journal of Pharmaceutical Sciences Review and Research","1","2024","2024","off_domain_venue_name:medicine"
"International Journal of Reproductive Medicine","1","2020","2020","off_domain_venue_name:medicine"
"International Journal of Sports Medicine","1","2019","2019","off_domain_venue_name:medicine"
"Iraqi National Journal of Medicine","1","2008","2008","off_domain_venue_name:medicine"
"ISRN Psychiatry","1","2012","2012","off_domain_venue_name:medicine"
"Issues in clinical child psychology","1","2009","2009","off_domain_venue_name:medicine"
"Italian Journal of Zoology","1","2004","2004","off_domain_venue_name:life_science"
"JAMA cardiology","1","2022","2022","off_domain_venue_name:medicine"
"JAMA Otolaryngology - Head and Neck Surgery","1","2022","2022","off_domain_venue_name:medicine"
"JEADV Clinical Practice","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Addiction Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Advances in Medical Education and Professionalism","1","2017","2017","off_domain_venue_name:medicine"
"Journal of Avian Biology","1","2024","2024","off_domain_venue_name:life_science"
"Journal of Behavior Therapy and Experimental Psychiatry","1","2009","2009","off_domain_venue_name:medicine"
"Journal of Biological Methods","1","2014","2014","off_domain_venue_name:life_science"
"Journal of Biological Regulators and Homeostatic Agents/Journal of Biological Regulators & Homeostatic Agents","1","2020","2020","off_domain_venue_name:life_science"
"Journal of Biomedical Semantics","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Bone and Joint Surgery - British Volume","1","1998","1998","off_domain_venue_name:medicine"
"Journal of Chemical Information and Computer Sciences","1","2003","2003","off_domain_venue_name:physical_science"
"Journal of Clinical &amp; Biomedical Research","1","2022","2022","off_domain_venue_name:medicine"
"Journal of Clinical and Experimental Neuropsychology","1","1998","1998","off_domain_venue_name:medicine"
"Journal of Clinical and Translational Hepatology","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Clinical Lipidology","1","2025","2025","off_domain_venue_name:medicine"
"Journal of Clinical Medicine of Kazakhstan","1","2025","2025","off_domain_venue_name:medicine"
"Journal of Clinical Nursing &amp; Reports","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Clinical Pharmacy and Therapeutics","1","2002","2002","off_domain_venue_name:medicine"
"Journal of Clinical Psychology in Medical Settings","1","2008","2008","off_domain_venue_name:medicine"
"Journal of Combinatorial Chemistry","1","1998","1998","off_domain_venue_name:physical_science"
"Journal of Community Genetics","1","2023","2023","off_domain_venue_name:life_science"
"Journal of Community Medicine and Primary Health Care","1","2025","2025","off_domain_venue_name:medicine"
"Journal of Community Medicine and Public Health Reports","1","2025","2025","off_domain_venue_name:medicine"
"Journal of Comparative Pathology","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Cranio-Maxillofacial Surgery","1","2025","2025","off_domain_venue_name:medicine"
"Journal of Cutaneous Medicine and Surgery","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Dental Sciences","1","2020","2020","off_domain_venue_name:medicine"
"Journal of Diverse Medical Research: Medicosphere","1","2025","2025","off_domain_venue_name:medicine"
"Journal of Epidemiology","1","2017","2017","off_domain_venue_name:medicine"
"Journal of Evolutionary Biology","1","2024","2024","off_domain_venue_name:life_science"
"Journal of Experimental Medicine","1","2022","2022","off_domain_venue_name:medicine"
"Journal of Experimental Pharmacology","1","2023","2023","off_domain_venue_name:medicine"
"Journal of Gastrointestinal Surgery","1","2025","2025","off_domain_venue_name:medicine"
"Journal of General and Family Medicine","1","2021","2021","off_domain_venue_name:medicine"
"Journal of General Internal Medicine","1","2023","2023","off_domain_venue_name:medicine"
"Journal of Geriatric Oncology","1","2017","2017","off_domain_venue_name:medicine"
"Journal of Graduate Medical Education","1","2012","2012","off_domain_venue_name:medicine"
"Journal of Gynecologic Oncology","1","2023","2023","off_domain_venue_name:medicine"
"Journal of Integrative Neuroscience","1","2024","2024","off_domain_venue_name:life_science"
"Journal of Intensive Care Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Journal of korean Academy of Child and Adolescent Psychiatry","1","2018","2018","off_domain_venue_name:medicine"
"Journal of Law, Medicine & Ethics","1","2022","2022","off_domain_venue_name:medicine"
"Journal of Materials Science","1","2022","2022","off_domain_venue_name:physical_science"
"Journal of Materials Science Materials in Electronics","1","2024","2024","off_domain_venue_name:physical_science"
"Journal of Medical Education and Curricular Development","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Medical Evidence","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Medical Extended Reality","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Medical Genetics and Clinical Biology","1","2024","2024","off_domain_venue_name:medicine|life_science"
"Journal of Medical Microbiology","1","2012","2012","off_domain_venue_name:medicine"
"Journal of molecular medicine","1","2021","2021","off_domain_venue_name:medicine|life_science"
"Journal of Molecular Medicine","1","2024","2024","off_domain_venue_name:medicine|life_science"
"Journal of Neuroscience Research","1","2000","2000","off_domain_venue_name:life_science"
"Journal of Nippon Medical School","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Nippon Medical School = Nippon Ika Daigaku zasshi","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Nuclear Cardiology","1","2022","2022","off_domain_venue_name:medicine|physical_science"
"Journal of Nursing Care Research","1","2025","2025","off_domain_venue_name:medicine"
"Journal of Ophthalmology &amp; Clinical Research","1","2022","2022","off_domain_venue_name:medicine"
"Journal of Oral and Maxillofacial Surgery Medicine and Pathology","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Orthopaedic Surgery and Research","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Osteopathic Medicine","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Pakistan Society of Internal Medicine.","1","2021","2021","off_domain_venue_name:medicine"
"Journal of pediatric nursing","1","2021","2021","off_domain_venue_name:medicine"
"Journal of Pharmaceutical Technology Research and Management","1","2016","2016","off_domain_venue_name:medicine"
"Journal of Pharmacology and Experimental Therapeutics","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Physical and Chemical Reference Data","1","2021","2021","off_domain_venue_name:physical_science"
"Journal of Physics Complexity","1","2024","2024","off_domain_venue_name:physical_science"
"Journal of Plant Pathology","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Plasma Physics","1","2024","2024","off_domain_venue_name:physical_science"
"Journal of preventive medicine and hygiene","1","2011","2011","off_domain_venue_name:medicine"
"Journal of Professional Nursing","1","2001","2001","off_domain_venue_name:medicine"
"Journal of Psychiatry Spectrum","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Public Health and Epidemiology","1","2022","2022","off_domain_venue_name:medicine"
"Journal of reproductive medicine","1","2004","2004","off_domain_venue_name:medicine"
"Journal of science and medicine in sport","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Social and Clinical Psychology","1","2018","2018","off_domain_venue_name:medicine"
"Journal of Spinal Cord Medicine","1","2011","2011","off_domain_venue_name:medicine"
"Journal of the Chinese Chemical Society","1","2025","2025","off_domain_venue_name:physical_science"
"Journal of the Medical Library Association JMLA","1","2017","2017","off_domain_venue_name:medicine"
"Journal of the Taiwan Institute of Chemical Engineers","1","2025","2025","off_domain_venue_name:physical_science"
"Journal of Universal College of Medical Sciences","1","2023","2023","off_domain_venue_name:medicine"
"Journal of World Future Medicine, Health and Nursing","1","2024","2024","off_domain_venue_name:medicine"
"Journal of Wound Ostomy and Continence Nursing","1","2016","2016","off_domain_venue_name:medicine"
"Journal of Zoology","1","2024","2024","off_domain_venue_name:life_science"
"Knee Surgery and Related Research","1","2024","2024","off_domain_venue_name:medicine"
"Letters In Animal Biology","1","2026","2026","off_domain_venue_name:life_science"
"Living Journal of Computational Molecular Science","1","2022","2022","off_domain_venue_name:life_science"
"Magna Scientia Advanced Biology and Pharmacy","1","2024","2024","off_domain_venue_name:life_science"
"Magnetic Resonance in Medical Sciences","1","2024","2024","off_domain_venue_name:medicine"
